"Read Position"	"SRR11196520"	"SRR11196521"	"SRR11196522"	"SRR11196523"	"SRR11196524"	"SRR11196525"	"SRR11196526"	"SRR11196527"	"SRR11196528"	"SRR11196529"	"SRR11196530"	"SRR11196531"	"SRR11196532"	"SRR11196533"	"SRR11196534"	"SRR11196535"	"SRR11196536"	"SRR11196537"	"SRR11196538"	"SRR11196539"
1	26.4605	29.9621	30.286	28.7281	29.4391	29.2292	27.5337	29.602	25.4879	30.2535	30.5886	28.4992	29.7373	30.5795	30.7889	26.4437	31.0378	28.7703	29.9619	29.9515
2	30.7031	31.2692	31.6352	32.0682	32.2735	27.6067	31.1781	32.3047	28.8504	31.6002	28.5871	26.9216	27.6795	31.4923	32.583	29.3728	32.0099	32.1184	32.3707	31.111
3	31.8008	32.4903	32.119	32.2845	32.6362	30.5994	32.0775	32.6701	29.3038	32.1139	30.9646	30.1725	30.3636	32.5784	32.8947	29.811	32.3248	32.3329	32.5432	32.42
4	32.6089	32.7749	32.0617	32.6449	32.7508	32.1015	32.7358	32.7925	31.3395	32.0569	32.3086	31.8997	32.0804	32.8551	32.9912	31.6556	32.2458	32.6751	32.8496	32.6744
5	32.9231	33.0922	32.7783	33.1908	33.1609	32.5922	33.0151	33.1862	31.9596	32.7712	32.7733	32.4385	32.6066	33.161	33.3142	32.1657	32.8608	33.2298	33.2862	33.0086
6	36.8572	37.0967	36.8162	37.1134	36.7628	36.755	36.959	36.8248	36.3678	36.7702	36.7365	36.521	36.4169	37.1367	37.0242	36.5846	36.9607	37.1536	37.2135	37.019
7	37.2361	37.4002	37.256	37.2896	36.9977	37.1147	37.2857	37.0423	37.0824	37.2108	36.9577	37.0665	36.6724	37.4151	37.1894	37.1931	37.3156	37.3328	37.3748	37.3533
8	37.4083	37.4935	37.4859	37.3717	37.2826	37.4569	37.4591	37.2961	37.1522	37.455	37.2211	37.4196	37.0562	37.5112	37.4264	37.241	37.5117	37.4148	37.445	37.4641
9	37.518	37.5721	37.5486	37.4596	37.4232	37.5228	37.5517	37.4305	37.367	37.5172	37.4167	37.5012	37.3282	37.5737	37.5263	37.4281	37.5752	37.5012	37.5143	37.5448
10	37.5407	37.5889	37.5561	37.4538	37.4692	37.53	37.5718	37.4738	37.4223	37.522	37.4245	37.4816	37.2988	37.5973	37.5636	37.4715	37.5838	37.4964	37.5203	37.5597
