"Read Position"	"SRR11196520"	"SRR11196521"	"SRR11196522"	"SRR11196523"	"SRR11196524"	"SRR11196525"	"SRR11196526"	"SRR11196527"	"SRR11196528"	"SRR11196529"	"SRR11196530"	"SRR11196531"	"SRR11196532"	"SRR11196533"	"SRR11196534"	"SRR11196535"	"SRR11196536"	"SRR11196537"	"SRR11196538"	"SRR11196539"
1	32.8976	32.9614	33.0088	32.9836	33.1274	32.9393	32.9387	33.0054	32.8864	32.734	33.0479	32.8685	33.019	32.9506	33.0912	32.8951	32.9822	33.0947	33.0063	32.9906
2	32.9962	33.07	33.0943	33.0626	33.2128	33.04	33.039	33.1193	33.0014	32.8635	33.1195	32.9973	33.121	33.0391	33.1828	33.0133	33.0746	33.1766	33.0723	33.0675
3	33.0128	33.0844	33.1077	33.0694	33.2273	33.0461	33.0532	33.1403	33.0066	32.8905	33.1154	33.0068	33.1322	33.0474	33.194	33.0195	33.0862	33.1889	33.0786	33.0746
4	32.9616	33.0293	33.061	33.0215	33.1886	32.9854	33.0002	33.1053	32.952	32.8295	33.0717	32.9364	33.0932	32.9921	33.1534	32.9597	33.0359	33.1505	33.028	33.0057
5	32.9616	33.0408	33.0714	33.0218	33.1987	32.9932	33.0038	33.1132	32.952	32.8358	33.0714	32.9511	33.0973	32.9988	33.1677	32.9704	33.0486	33.1596	33.0298	33.0201
6	37.1371	37.2031	37.2263	37.1943	37.3924	37.1318	37.1631	37.3136	37.1085	37.0003	37.2246	37.1028	37.2745	37.1385	37.3425	37.1117	37.194	37.3316	37.1788	37.1627
7	37.1563	37.2152	37.2344	37.1995	37.3906	37.1358	37.1679	37.3317	37.1357	37.038	37.2133	37.1318	37.2886	37.1364	37.3344	37.1246	37.195	37.3281	37.1676	37.1687
8	37.15	37.2104	37.2293	37.1956	37.3965	37.1289	37.1607	37.3308	37.1269	37.0256	37.2139	37.13	37.2873	37.1299	37.3362	37.1165	37.1864	37.3249	37.1633	37.1689
9	37.15	37.2123	37.2292	37.1956	37.3967	37.1257	37.1625	37.3323	37.1267	37.0292	37.2104	37.1304	37.29	37.1276	37.3368	37.1169	37.1905	37.3227	37.1627	37.1649
10	37.1463	37.2124	37.2333	37.1934	37.4013	37.1215	37.1523	37.3301	37.1177	37.0229	37.2107	37.1157	37.2883	37.1242	37.3383	37.1074	37.1877	37.3193	37.1617	37.1652
11	37.1622	37.2295	37.248	37.2079	37.4173	37.1306	37.1635	37.3459	37.1303	37.0427	37.2185	37.1337	37.3012	37.1386	37.3499	37.1171	37.2006	37.3337	37.1729	37.184
12	37.1686	37.234	37.2529	37.2127	37.419	37.1376	37.1727	37.3485	37.1339	37.0514	37.2254	37.1405	37.3028	37.1449	37.3533	37.1244	37.2069	37.3391	37.182	37.1882
13	37.1664	37.226	37.2471	37.2094	37.4113	37.1231	37.1616	37.3431	37.1267	37.0449	37.2115	37.1292	37.2958	37.1324	37.3376	37.109	37.1934	37.3283	37.1705	37.1808
14	37.1637	37.2303	37.2499	37.2088	37.418	37.1313	37.1656	37.3447	37.1285	37.0452	37.2184	37.1326	37.2976	37.1377	37.3498	37.1191	37.2015	37.3335	37.1763	37.1792
15	37.1643	37.2237	37.2458	37.2082	37.4106	37.1276	37.1625	37.3428	37.1279	37.0427	37.2159	37.1283	37.2968	37.1344	37.3397	37.1129	37.1959	37.3276	37.1713	37.1739
16	37.1653	37.23	37.2493	37.2105	37.4192	37.1348	37.1691	37.3465	37.1302	37.0445	37.2227	37.1292	37.3011	37.1418	37.3509	37.1199	37.2035	37.3349	37.1796	37.1782
17	37.1546	37.218	37.2388	37.1972	37.4083	37.1237	37.158	37.3369	37.1169	37.0358	37.2115	37.12	37.2891	37.1324	37.3433	37.1096	37.1962	37.3221	37.1698	37.1641
18	37.1589	37.2136	37.2386	37.2	37.4049	37.1197	37.1575	37.3348	37.1185	37.0358	37.2115	37.1138	37.292	37.1292	37.336	37.1055	37.1922	37.3201	37.167	37.1609
19	37.1626	37.2205	37.2436	37.2045	37.4095	37.1269	37.1632	37.3404	37.1234	37.0425	37.2201	37.1196	37.2969	37.1361	37.3423	37.1125	37.1987	37.3271	37.1734	37.1666
20	37.171	37.2341	37.2548	37.2141	37.4222	37.1412	37.177	37.3523	37.1325	37.0541	37.2335	37.1357	37.3082	37.1498	37.3606	37.1275	37.215	37.341	37.1865	37.1839
