"Category"	"Passed Filter"	"Low Quality"	"Too Many N"	"Too short"
"SRR11196520"	20309884	42794	4644	9432
"SRR11196521"	16880924	22710	3860	0
"SRR11196522"	11881908	19434	2272	0
"SRR11196523"	19018222	49128	4400	0
"SRR11196524"	12894382	19026	2556	0
"SRR11196525"	18321018	27938	3644	0
"SRR11196526"	23741806	41246	5606	0
"SRR11196527"	20498156	23784	5040	0
"SRR11196528"	18300908	29544	3576	0
"SRR11196529"	26390418	36792	6382	0
"SRR11196530"	12426140	25220	2508	0
"SRR11196531"	20060060	29482	3644	58064
"SRR11196532"	13888710	22482	2950	0
"SRR11196533"	20324624	35082	4848	0
"SRR11196534"	17283836	19570	3962	0
"SRR11196535"	20165314	23742	4280	0
"SRR11196536"	22949388	28080	4990	0
"SRR11196537"	21165988	35090	4836	0
"SRR11196538"	18023144	42266	4020	0
"SRR11196539"	11037016	30358	1926	28604
