"Read Position"	"SRR11711678"	"SRR11711679"	"SRR11711680"	"SRR11711681"	"SRR11711682"	"SRR11711683"	"SRR11711684"	"SRR11711685"	"SRR11711686"	"SRR11711687"	"SRR11711688"	"SRR11711689"	"SRR11711690"	"SRR11711691"	"SRR11711692"	"SRR11711693"	"SRR11711695"	"SRR11711706"	"SRR11711717"	"SRR11711728"	"SRR11711739"	"SRR11711760"	"SRR11711771"	"SRR11711782"	"SRR11711793"	"SRR11711804"	"SRR11711805"	"SRR11711806"	"SRR11711807"	"SRR11711808"	"SRR11711809"	"SRR11711810"	"SRR11711811"	"SRR11711812"	"SRR11711813"	"SRR11711814"	"SRR11711815"	"SRR11711816"	"SRR11711817"	"SRR11711818"	"SRR11711819"	"SRR11711820"	"SRR11711821"	"SRR11711822"	"SRR11711823"	"SRR11711824"	"SRR11711825"	"SRR11711826"	"SRR11711827"	"SRR11711828"	"SRR11711833"	"SRR11711844"	"SRR11711855"	"SRR11711866"	"SRR11711877"	"SRR11711888"	"SRR11711899"	"SRR11711907"	"SRR11711908"	"SRR11711909"	"SRR11711910"	"SRR11711911"	"SRR11711912"	"SRR11711913"	"SRR11711914"	"SRR11711915"	"SRR11711916"	"SRR11711927"	"SRR11711938"	"SRR11711949"	"SRR11711950"	"SRR11711951"
1	78.9586	79.1975	79.1549	79.16159999999999	79.1958	79.27159999999999	82.0106	79.1528	79.55	79.7114	79.7828	79.7786	79.81700000000001	79.8373	79.9148	79.814	82.0116	82.0055	82.0035	78.8574	79.1929	79.2685	79.2109	79.17020000000001	79.5268	79.3562	79.5225	79.65100000000001	79.7022	79.6791	79.6673	79.67790000000001	79.7272	79.70739999999999	79.5662	79.9067	79.3831	79.7709	79.93900000000001	79.82639999999999	79.90129999999999	79.9726	79.8597	79.91	79.9418	79.5094	79.6389	79.47229999999999	79.6196	79.5381	79.64179999999999	79.7116	79.5983	79.65379999999999	79.6827	81.9189	81.9474	79.2603	79.4096	79.47149999999999	81.9082	79.4757	79.48349999999999	79.4828	79.577	79.43639999999999	79.0924	79.11110000000001	79.1916	79.2218	79.4817	79.4893
2	51.529199999999996	51.585	51.5927	51.6834	51.5836	51.6139	53.4721	51.6475	50.029	50.1464	50.1857	50.144200000000005	50.2153	50.1955	50.217800000000004	50.2235	53.4585	53.445600000000006	53.4559	50.8372	50.7968	50.8417	50.827299999999994	49.2023	49.2038	49.1649	49.918099999999995	49.995200000000004	49.987500000000004	50.00019999999999	49.994699999999995	50.059200000000004	50.065400000000004	50.102000000000004	49.0402	48.9992	49.1744	49.005900000000004	48.979099999999995	48.9987	49.048199999999994	49.0272	48.9865	49.0441	49.0834	52.0357	52.1125	49.2146	52.0968	52.071400000000004	52.1908	52.1366	52.1278	52.1807	52.2362	53.385099999999994	53.402899999999995	53.0309	53.020100000000006	53.0246	53.413900000000005	49.2261	53.078599999999994	53.0981	53.09700000000001	53.1201	50.805	50.7791	50.8108	50.8022	49.247	49.2536
3	59.762800000000006	59.9183	59.9364	59.9782	59.9763	60.0393	62.8842	60.0267	58.10809999999999	58.5074	58.665800000000004	58.6651	58.7185	58.752300000000005	58.781099999999995	58.8021	62.9447	62.9035	62.893	59.496	59.8255	59.8591	59.88590000000001	58.458200000000005	58.7718	58.6842	59.1122	59.2773	59.375699999999995	59.3395	59.3414	59.4023	59.443	59.458299999999994	57.899100000000004	58.2506	58.6881	58.2352	58.3715	58.1987	58.3466	58.4704	58.267100000000006	58.3557	58.4777	59.613400000000006	59.8044	58.767199999999995	59.782599999999995	59.6684	59.8738	59.9561	59.731199999999994	59.8255	59.9385	62.75429999999999	62.7685	60.5537	60.770199999999996	60.7597	62.8073	58.848299999999995	60.7715	60.817699999999995	60.8127	60.8505	59.6751	59.7545	59.7985	59.838	58.8566	58.8702
4	54.5823	54.738	54.82470000000001	54.7928	54.6729	54.6606	57.816100000000006	54.8187	53.2913	53.8524	53.967200000000005	53.968700000000005	53.917300000000004	53.8528	53.8791	54.034499999999994	57.7943	57.8167	58.0479	54.5589	54.8786	54.7477	54.929300000000005	53.236000000000004	53.6107	53.4612	53.856899999999996	54.03	54.0627	54.05720000000001	53.87610000000001	53.8424	54.001200000000004	54.1428	52.820299999999996	53.164500000000004	53.5682	53.103100000000005	53.272299999999994	53.1259	53.0339	53.1011	52.945100000000004	53.1679	53.3339	54.847199999999994	54.9439	53.469100000000005	54.9484	54.8774	54.9601	54.8852	54.748	54.9562	55.1293	57.824299999999994	57.808800000000005	55.6342	55.793899999999994	55.8111	57.8523	53.481199999999994	55.813599999999994	55.77910000000001	55.7338	55.9013	54.7168	54.7887	54.7841	54.684900000000006	53.5021	53.6794
5	46.3853	46.4048	46.4179	46.3919	46.4321	46.4198	49.9888	46.4388	45.7849	45.981300000000005	45.995000000000005	45.9803	45.9739	46.0023	45.9971	45.9964	49.9942	49.9585	49.9625	46.666999999999994	46.8044	46.778	46.7985	45.4664	45.528400000000005	45.5305	45.8843	45.9518	45.9704	45.9798	45.9344	45.9029	45.9442	45.9673	44.9441	45.0371	45.4933	45.0167	45.0041	44.9911	44.973600000000005	45.0408	44.9454	44.976699999999994	45.0234	46.759	46.854600000000005	45.5242	46.8703	46.8528	46.7883	46.848299999999995	46.7788	46.794999999999995	46.8521	49.9636	49.9696	47.3804	47.4575	47.4344	49.946200000000005	45.548100000000005	47.4771	47.415	47.4206	47.4981	46.7643	46.7566	46.7886	46.7376	45.5059	45.550200000000004
6	41.289	41.4273	41.4479	41.4607	41.370000000000005	41.455999999999996	45.0283	41.498200000000004	41.2579	41.3807	41.442099999999996	41.4679	41.4722	41.4148	41.464099999999995	41.5279	45.062000000000005	45.0392	45.048	41.856500000000004	41.9424	41.92	41.9041	40.4666	40.653099999999995	40.631699999999995	41.025	41.1323	41.1683	41.1186	41.1094	41.0956	41.1128	41.1749	40.2764	40.5207	40.6568	40.4775	40.5815	40.5182	40.5139	40.6014	40.518	40.5225	40.5907	41.924499999999995	42.0737	40.6368	42.0954	42.0032	42.0679	42.0948	42.0227	42.0332	42.094500000000004	45.0477	44.974199999999996	42.405300000000004	42.487	42.5269	44.9981	40.6496	42.52	42.5079	42.507400000000004	42.4884	41.8729	41.9146	41.922	41.9065	40.6466	40.7008
7	33.2209	33.287	33.3465	33.295700000000004	33.337	33.3057	38.0861	33.3039	32.9777	32.9501	33.0082	33.0667	32.991	32.9777	33.0271	33.037499999999994	38.0805	38.0855	38.0726	34.2756	34.2731	34.2686	34.2844	33.2278	33.2422	33.1964	33.3173	33.3733	33.379799999999996	33.352	33.3294	33.3477	33.341300000000004	33.367599999999996	32.901	33.000600000000006	33.2475	32.961400000000005	33.0059	32.9541	32.9666	32.9965	32.9288	32.9699	33.0051	33.4935	33.590399999999995	33.2832	33.5418	33.5115	33.6191	33.564899999999994	33.5088	33.5977	33.6001	38.0662	38.0179	33.442499999999995	33.576699999999995	33.6289	38.0131	33.3215	33.590199999999996	33.571600000000004	33.6061	33.6251	34.2548	34.2286	34.2868	34.301700000000004	33.2713	33.305299999999995
8	41.5008	41.552299999999995	41.5682	41.557500000000005	41.574	41.5689	45.6123	41.6098	41.4897	41.4696	41.490500000000004	41.5353	41.5129	41.524499999999996	41.5285	41.5762	45.5874	45.583200000000005	45.5802	42.5491	42.715599999999995	42.7191	42.735099999999996	41.4405	41.4813	41.398	41.22	41.2389	41.2399	41.192	41.2635	41.2506	41.2734	41.242200000000004	41.3958	41.509800000000006	41.4181	41.4739	41.4932	41.4605	41.552	41.544599999999996	41.510200000000005	41.483799999999995	41.5673	41.283500000000004	41.2856	41.4536	41.2789	41.2911	41.3187	41.3588	41.3424	41.343999999999994	41.322399999999995	45.5664	45.5657	41.2911	41.3338	41.375499999999995	45.6072	41.4475	41.3765	41.3323	41.376000000000005	41.3773	42.6265	42.6506	42.7049	42.7436	41.4921	41.4807
9	41.3804	41.4057	41.395900000000005	41.362700000000004	41.374100000000006	41.389199999999995	45.6466	41.4539	41.4079	41.411	41.5208	41.4888	41.4458	41.4513	41.468500000000006	41.5142	45.6534	45.6254	45.589	42.7102	42.7571	42.7646	42.7842	41.392	41.5222	41.4789	41.037	41.1559	41.151900000000005	41.1043	41.1342	41.1141	41.0964	41.115	41.2848	41.2971	41.4472	41.2429	41.305	41.238	41.2467	41.3418	41.335	41.2928	41.2925	41.1557	41.1685	41.5298	41.1751	41.1468	41.159800000000004	41.1888	41.2147	41.1718	41.2075	45.623200000000004	45.6265	41.0353	41.1055	41.072900000000004	45.5617	41.5476	41.0935	41.0533	41.0365	41.0873	42.734100000000005	42.7331	42.8034	42.8125	41.5124	41.509
10	35.6785	35.734700000000004	35.7606	35.7313	35.7288	35.7221	41.4015	35.733	35.530899999999995	35.7671	35.8519	35.8397	35.8381	35.843	35.841499999999996	35.8608	41.4049	41.394	41.414699999999996	37.4662	37.487300000000005	37.4649	37.480799999999995	35.9549	36.0269	35.9254	35.7333	35.719899999999996	35.7666	35.755900000000004	35.7278	35.7715	35.7845	35.8171	35.896699999999996	35.9895	35.9961	35.9609	35.9847	35.992200000000004	35.9756	35.9998	35.9221	35.9187	35.9529	35.682	35.7133	36.024899999999995	35.6989	35.6603	35.710300000000004	35.7357	35.688700000000004	35.6758	35.7094	41.3866	41.367	35.337	35.424299999999995	35.4761	41.370400000000004	35.997299999999996	35.402699999999996	35.442	35.4695	35.4019	37.4801	37.4664	37.492399999999996	37.4665	35.988	35.9887
