"Read Position"	"SRR11711678"	"SRR11711679"	"SRR11711680"	"SRR11711681"	"SRR11711682"	"SRR11711683"	"SRR11711684"	"SRR11711685"	"SRR11711686"	"SRR11711687"	"SRR11711688"	"SRR11711689"	"SRR11711690"	"SRR11711691"	"SRR11711692"	"SRR11711693"	"SRR11711695"	"SRR11711706"	"SRR11711717"	"SRR11711728"	"SRR11711739"	"SRR11711760"	"SRR11711771"	"SRR11711782"	"SRR11711793"	"SRR11711804"	"SRR11711805"	"SRR11711806"	"SRR11711807"	"SRR11711808"	"SRR11711809"	"SRR11711810"	"SRR11711811"	"SRR11711812"	"SRR11711813"	"SRR11711814"	"SRR11711815"	"SRR11711816"	"SRR11711817"	"SRR11711818"	"SRR11711819"	"SRR11711820"	"SRR11711821"	"SRR11711822"	"SRR11711823"	"SRR11711824"	"SRR11711825"	"SRR11711826"	"SRR11711827"	"SRR11711828"	"SRR11711833"	"SRR11711844"	"SRR11711855"	"SRR11711866"	"SRR11711877"	"SRR11711888"	"SRR11711899"	"SRR11711907"	"SRR11711908"	"SRR11711909"	"SRR11711910"	"SRR11711911"	"SRR11711912"	"SRR11711913"	"SRR11711914"	"SRR11711915"	"SRR11711916"	"SRR11711927"	"SRR11711938"	"SRR11711949"	"SRR11711950"	"SRR11711951"
1	0.0401269	0.03675	0.039975	0.040174999999999995	0.045625	0.059225	0.039175	0.14045	0	0.039275	0.038875	0.0398	0.0412	0.0494	0.06080000000000001	0.14375	0.031849999999999996	0.0291	0.059175000000000005	0.022544500000000002	0.042749999999999996	0.030375	0.06545000000000001	0.023052200000000002	0.043525	0.04065	0.0356847	0.04405	0.037375	0.042225	0.033575	0.034025	0.0287	0.06575	0.0213349	0.042374999999999996	0.038575000000000005	0.03945	0.03895	0.036425	0.042475	0.031149999999999997	0.031275	0.03745	0.0679	0.038742900000000004	0.041975	0.0391	0.039775	0.037975	0.041800000000000004	0.0334	0.029849999999999998	0.03435	0.065075	0.038382599999999996	0.0388	0.039333400000000004	0.03905	0.038275	0.039875	0.032625	0.0429	0.0428	0.05335	0.140675	0.041175	0.038900000000000004	0.03705	0.03155	0.03215	0.060700000000000004
2	0	0	0	0.0075	0.051675	0.023525	0.016775	0	0	0	0	0	0.008775	0.045575	0.024975000000000004	0	0.043725	0.035125	0	0	0.01315	0.035525	0	0	0.015425000000000001	0.0009	0	0.01815	0.009525	0.00009999999999999999	0.038725	0.0332	0.039625	0	0	0.002525	0.00925	0.019425	0.01065	0.000125	0.031349999999999996	0.055725000000000004	0.024125	0.032125	0	0	0.02	0.02735	0.0015249999999999999	0.0086	0.020375	0.05415	0.02255	0.032675	0	0.00231824	0.011325	0	0	0	0.0084	0.04145	0.003125	0.045425	0.022475	0	0.002725	0.008674999999999999	0.027125	0.042425	0.035250000000000004	0
3	0.0018644800000000002	0.00035	0.014975	0.029674999999999997	0	0.000525	0	0	0	0.001325	0.0005	0.03095	0.01785	0	0.000525	0	0.0013	0.011125	0.0044	0	0	0.009875	0.003974999999999999	0	0	0	0	0	0	0	0	0.009600000000000001	0.0041	0.004025	0	0	0	0	0	0	0	0	0.012899999999999998	0.004699999999999999	0.005125	0	0	0	0	0	0	0	0.011325	0.0038250000000000003	0.004475	0	0	0.0022500000000000003	0.0005	0.0151	0	0.00355	0.02965	0	0.00015000000000000001	0	0	0	0	0.003075	0.0093	0.003974999999999999
4	0.0219684	0.07617499999999999	0.04995000000000001	0.081675	0.266	0.4862	0.22865	0.19877499999999998	0.0204534	0.040075	0.0782	0.0273	0.12665	0.304	0.445975	0.20345	0.402925	0.323475	0.006175	0.058184700000000006	0.037	0.30985	0.007775000000000001	0.0505157	0.034925	0.071975	0.0640311	0.033875	0.056225000000000004	0.033	0.378875	0.41502500000000003	0.26232500000000003	0.0078	0.0654491	0.049174999999999996	0.024800000000000003	0.05247500000000001	0.056174999999999996	0.0313	0.29217499999999996	0.38522500000000004	0.426575	0.179575	0.00425	0.0675686	0.028875	0.2695	0.0668	0.026774999999999997	0.213825	0.388625	0.42832499999999996	0.198375	0.004875	0.046206699999999996	0.056625	0.0203334	0.07625	0.051975	0.0352	0.412075	0.07984999999999999	0.257125	0.48234999999999995	0.1948	0.07385	0.027875000000000004	0.271375	0.40990000000000004	0.30855	0.0067
5	0	0	0	0	0.000275	0	0.0030499999999999998	0	0	0	0	0	0.000024999999999999998	0	0	0	0.001075	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004325	0	0	0	0	0	0	0	0	0	0.00545	0.0017499999999999998	0	0	0	0	0	0.006	0	0	0.0015999999999999999	0.004575	0	0	0	0	0	0	0	0	0	0	0	0.000024999999999999998	0	0	0	0	0.0049	0	0	0
6	0	0	0	0.00405	0.011625	0.0040750000000000005	0	0	0	0	0	0	0.0085	0.003625	0.002975	0	0	0	0	0	0.000975	0	0	0	0.0011749999999999998	0.011875	0.00201315	0.006225	0.008175	0	0	0	0	0	0	0.0017	0	0.0087	0.007275	0	0	0	0	0	0	0.0017026600000000002	0.003375	0	0.0107	0	0	0	0	0	0	0.00123815	0.009275	0	0	0	0.0024000000000000002	0	0.00125	0.0052	0.002	0	0.012975	0	0	0	0	0
7	0	0	0	0.0013750000000000001	0.0066500000000000005	0	0	0	0	0	0	0	0.00385	0.00105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000597423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000225	0.002325	0	0	0	0	0	0	0	0
8	0	0.00047500000000000005	0	0.011000000000000001	0.037675	0.036725	0	0	0	0	0.00039999999999999996	0	0.015825	0.035525	0.0323	0	0	0	0	0.015747999999999998	0.016275	0	0	0.011526100000000001	0.015425000000000001	0.0172	0.0253917	0.01145	0.007025	0	0	0	0	0	0.0240017	0.022875	0	0.01895	0.004475	0	0	0	0	0	0	0.0279893	0.0076749999999999995	0	0.0135	0	0	0	0	0	0	0.0185986	0.015924999999999998	0	0.000275	0	0.000275	0	0.004575	0.031	0.025224999999999997	0	0.0177	0	0	0	0	0
9	0	0	0	0	0	0.00007500000000000001	0	0	0	0	0	0	0	0	0.000024999999999999998	0	0	0	0	0.00513882	0	0	0	0.000569191	0	0	0.00045458200000000003	0	0	0	0	0	0	0	0.006000429999999999	0	0	0	0	0	0	0	0	0	0	0.0011351	0	0	0	0	0	0	0	0	0	0.00031612299999999997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	0	0.002625	0.005775	0.005375	0	0	0	0	0	0	0.003075	0.0039499999999999995	0.00315	0	0	0	0	0	0	0	0	0	0	0.021525	0	0.015349999999999999	0.007724999999999999	0	0	0	0	0	0	0	0	0.024325	0.00445	0	0	0	0	0	0	0	0.01205	0	0.01495	0	0	0	0	0	0	0	0.020149999999999998	0	0	0	0	0	0.0007750000000000001	0.002075	0.002325	0	0.022575	0	0	0	0	0
