"Read Position"	"SRR11711678"	"SRR11711679"	"SRR11711680"	"SRR11711681"	"SRR11711682"	"SRR11711683"	"SRR11711684"	"SRR11711685"	"SRR11711686"	"SRR11711687"	"SRR11711688"	"SRR11711689"	"SRR11711690"	"SRR11711691"	"SRR11711692"	"SRR11711693"	"SRR11711695"	"SRR11711706"	"SRR11711717"	"SRR11711728"	"SRR11711739"	"SRR11711760"	"SRR11711771"	"SRR11711782"	"SRR11711793"	"SRR11711804"	"SRR11711805"	"SRR11711806"	"SRR11711807"	"SRR11711808"	"SRR11711809"	"SRR11711810"	"SRR11711811"	"SRR11711812"	"SRR11711813"	"SRR11711814"	"SRR11711815"	"SRR11711816"	"SRR11711817"	"SRR11711818"	"SRR11711819"	"SRR11711820"	"SRR11711821"	"SRR11711822"	"SRR11711823"	"SRR11711824"	"SRR11711825"	"SRR11711826"	"SRR11711827"	"SRR11711828"	"SRR11711833"	"SRR11711844"	"SRR11711855"	"SRR11711866"	"SRR11711877"	"SRR11711888"	"SRR11711899"	"SRR11711907"	"SRR11711908"	"SRR11711909"	"SRR11711910"	"SRR11711911"	"SRR11711912"	"SRR11711913"	"SRR11711914"	"SRR11711915"	"SRR11711916"	"SRR11711927"	"SRR11711938"	"SRR11711949"	"SRR11711950"	"SRR11711951"
1	32.2076	32.5473	32.577	32.4772	32.3252	32.4986	32.2791	32.4882	31.7862	32.342	32.538	32.4752	32.3879	32.3292	32.4775	32.4805	32.2374	32.2445	32.2791	31.9264	32.4927	32.3164	32.363	31.9004	32.4763	32.292	32.1904	32.3934	32.4607	32.3717	32.1871	32.2095	32.2816	32.3687	31.91	32.3972	32.2953	32.3049	32.5253	32.2723	32.2489	32.4133	32.1224	32.2072	32.4489	32.171	32.4326	32.2732	32.4779	32.2127	32.3355	32.3926	32.0815	32.2255	32.4222	32.291	32.3104	32.1534	32.5056	32.5402	32.3062	32.2488	32.4371	32.2779	32.455	32.4425	32.3378	32.3401	32.3196	32.2933	32.2732	32.3212
2	32.359	32.7147	32.7413	32.6373	32.4874	32.6605	32.4401	32.6877	31.9787	32.4865	32.7007	32.6418	32.5379	32.4733	32.6387	32.6722	32.4013	32.4136	32.4566	32.086	32.6492	32.4899	32.5417	32.0471	32.6275	32.4427	32.3423	32.5377	32.6015	32.5255	32.3366	32.3581	32.4479	32.5431	32.0648	32.5469	32.4367	32.4587	32.6721	32.4246	32.4063	32.5823	32.2692	32.3842	32.6294	32.3246	32.5819	32.4263	32.6322	32.3533	32.494	32.5571	32.2271	32.3975	32.5985	32.44	32.4685	32.3031	32.6712	32.7036	32.4528	32.4072	32.5996	32.4367	32.6167	32.6426	32.4934	32.4868	32.4801	32.458	32.4433	32.4937
3	32.4353	32.796	32.8028	32.7013	32.5811	32.7555	32.523	32.7786	31.7405	32.5723	32.7802	32.7061	32.6067	32.581	32.7319	32.7653	32.4921	32.5096	32.5522	32.1461	32.7192	32.5775	32.6303	32.1223	32.703	32.5046	32.4159	32.5984	32.6773	32.6136	32.4204	32.4559	32.5439	32.6349	32.1333	32.622	32.527	32.5054	32.7512	32.5092	32.4933	32.6672	32.362	32.4771	32.7175	32.3996	32.6393	32.5146	32.6986	32.4446	32.5751	32.6489	32.3216	32.4943	32.6869	32.5147	32.5233	32.3804	32.7551	32.7666	32.5444	32.501	32.663	32.5313	32.7125	32.7324	32.5482	32.5687	32.5631	32.5459	32.5359	32.5879
4	35.8246	36.0837	36.1072	36.0296	35.9014	35.9646	35.8356	36.0656	35.4276	35.9229	36.0728	36.0362	35.9437	35.89	35.9558	36.0545	35.7705	35.7996	35.9202	35.5148	36.0477	35.8642	35.9882	35.4952	36.0359	35.8722	35.7779	35.9537	36.0157	35.9646	35.7172	35.7277	35.8312	35.9932	35.4956	35.965	35.8961	35.875	36.0735	35.8785	35.7868	35.9266	35.6457	35.8028	36.0638	35.7617	35.9892	35.8167	36.0333	35.8265	35.8798	35.9109	35.6126	35.8108	36.0412	35.8684	35.8884	35.7744	36.0466	36.0727	35.9024	35.774	35.9943	35.8591	35.9276	36.0249	35.913	35.935	35.8601	35.8136	35.8247	35.9468
5	35.5486	35.9035	35.9302	35.8314	35.6902	35.8319	35.6221	35.9008	35.0826	35.6831	35.9025	35.8376	35.7256	35.6823	35.8244	35.8902	35.5632	35.5701	35.6908	35.216	35.8672	35.6613	35.785	35.1758	35.856	35.6497	35.5404	35.758	35.8215	35.765	35.5074	35.5198	35.6308	35.7892	35.1881	35.7711	35.6787	35.6652	35.8879	35.6611	35.5826	35.7691	35.4262	35.5727	35.8652	35.5157	35.8031	35.6134	35.849	35.5915	35.6894	35.7434	35.3815	35.5899	35.8367	35.6392	35.6602	35.4877	35.8603	35.8891	35.6779	35.5721	35.7875	35.639	35.7845	35.8514	35.698	35.7217	35.6622	35.6188	35.617	35.7372
6	35.5233	35.8638	35.9033	35.7961	35.6668	35.8109	35.5744	35.8604	35.0761	35.6591	35.8664	35.8096	35.6883	35.6718	35.7911	35.856	35.5272	35.5675	35.6369	35.2347	35.828	35.6645	35.7432	35.1949	35.8197	35.6073	35.5053	35.7155	35.7847	35.718	35.4864	35.5251	35.6272	35.7481	35.2139	35.729	35.6223	35.6143	35.8516	35.615	35.5628	35.7423	35.4428	35.5638	35.8288	35.4808	35.7566	35.5884	35.8214	35.5303	35.6602	35.7102	35.3987	35.5777	35.8006	35.5896	35.5994	35.4645	35.8178	35.864	35.6093	35.5592	35.7513	35.61	35.7609	35.8092	35.6482	35.667	35.635	35.6053	35.6223	35.7012
7	35.5352	35.8711	35.913	35.8143	35.6843	35.8547	35.6055	35.8949	35.1423	35.6712	35.8706	35.821	35.7116	35.6936	35.8355	35.8921	35.5777	35.5924	35.6503	35.2721	35.8413	35.687	35.761	35.2437	35.835	35.6468	35.5425	35.7376	35.824	35.7458	35.5346	35.5756	35.6558	35.7732	35.2617	35.7478	35.6625	35.6541	35.885	35.6471	35.6017	35.7968	35.476	35.5961	35.8548	35.5185	35.7794	35.6266	35.8494	35.5746	35.695	35.764	35.4411	35.6117	35.8215	35.6059	35.635	35.4744	35.8276	35.8769	35.6407	35.6195	35.7725	35.6285	35.8072	35.8516	35.6847	35.6987	35.6696	35.6597	35.6501	35.7229
8	35.5202	35.8887	35.9099	35.8071	35.6808	35.8591	35.5905	35.9004	35.0197	35.6653	35.8805	35.8119	35.7147	35.6843	35.8417	35.8904	35.5685	35.5699	35.6391	35.2498	35.8461	35.6748	35.7545	35.2107	35.8407	35.6374	35.5365	35.745	35.8203	35.7276	35.5297	35.556	35.6466	35.7627	35.228	35.7568	35.6516	35.6445	35.8907	35.6281	35.5924	35.7899	35.4513	35.584	35.8589	35.5149	35.7964	35.6114	35.8406	35.5698	35.6815	35.7771	35.4083	35.607	35.8249	35.6081	35.6289	35.4655	35.8453	35.8767	35.6302	35.6054	35.7658	35.6322	35.8153	35.8555	35.6799	35.6911	35.6534	35.6484	35.6348	35.7147
9	37.1891	37.6185	37.6593	37.5304	37.3912	37.591	37.2806	37.6457	36.61	37.3666	37.6039	37.5516	37.4152	37.3958	37.5727	37.6356	37.2484	37.2605	37.3327	36.8199	37.5389	37.3745	37.4505	36.7569	37.5318	37.3165	37.1593	37.428	37.5347	37.4148	37.192	37.2082	37.3469	37.4605	36.7853	37.4368	37.3025	37.3156	37.6142	37.2809	37.2754	37.5047	37.0847	37.2579	37.5768	37.1429	37.4788	37.3028	37.5758	37.211	37.4002	37.4676	37.044	37.2945	37.5354	37.2668	37.3108	37.1264	37.5717	37.6167	37.3058	37.2725	37.4847	37.3293	37.5398	37.5931	37.3679	37.3558	37.3554	37.3248	37.3251	37.402
10	37.0974	37.5815	37.5912	37.4906	37.2925	37.54	37.2032	37.5965	36.7002	37.284	37.5724	37.4837	37.3627	37.2928	37.529	37.5872	37.1625	37.208	37.2588	36.7199	37.4932	37.3302	37.3828	36.6797	37.4861	37.2244	37.0948	37.3737	37.45	37.3794	37.1037	37.1558	37.2874	37.4055	36.71	37.3776	37.2674	37.2538	37.535	37.2443	37.1974	37.4374	37.0232	37.1969	37.5293	37.0727	37.4523	37.2166	37.4636	37.1734	37.3127	37.4096	36.9818	37.2332	37.4904	37.1995	37.2256	37.0319	37.5377	37.5448	37.2458	37.208	37.442	37.234	37.4892	37.5454	37.2731	37.3154	37.2722	37.259	37.2772	37.3381
