"";"number_of_input_reads";"average_input_read_length";"uniquely_mapped_reads_number";"uniquely_mapped_reads_percent";"average_mapped_length";"number_of_splices_total";"number_of_splices_annotated_sjdb";"number_of_splices_gt_ag";"number_of_splices_gc_ag";"number_of_splices_at_ac";"number_of_splices_non_canonical";"mismatch_rate_per_base_percent";"deletion_rate_per_base";"deletion_average_length";"insertion_rate_per_base";"insertion_average_length";"number_of_reads_mapped_to_multiple_loci";"percent_of_reads_mapped_to_multiple_loci";"number_of_reads_mapped_to_too_many_loci";"percent_of_reads_mapped_to_too_many_loci";"number_of_reads_unmapped_too_many_mismatches";"percent_of_reads_unmapped_too_many_mismatches";"number_of_reads_unmapped_too_short";"percent_of_reads_unmapped_too_short";"number_of_reads_unmapped_other";"percent_of_reads_unmapped_other";"muestras";"Especie";"temp";"Cultivar";"Project";"Esp_prj"
"1";10154942;249;6627395;65,26;249,03;5158819;5158037;5069218;73895;3357;12349;0,26;0,02;1,91;0,02;1,56;2721933;26,8;1201;0,01;0;0;802447;7,9;1966;0,02;"SRR11196520";"C.arabica";"23_19_C";"Catuai IAC 144";"PRJNA609253";"C.arabica_PRJNA609253"
"2";8440462;249;5598548;66,33;249,08;4273874;4273245;4198474;61151;2814;11435;0,26;0,02;1,92;0,02;1,65;2395160;28,38;1004;0,01;0;0;443731;5,26;2019;0,02;"SRR11196521";"C.arabica";"23_19_C";"Catuai IAC 144";"PRJNA609253";"C.arabica_PRJNA609253"
"3";5940954;249;3981130;67,01;249,03;2936329;2935853;2883541;42413;2050;8325;0,26;0,02;1,84;0,02;1,67;1691161;28,47;776;0,01;0;0;266142;4,48;1745;0,03;"SRR11196522";"C.arabica";"23_19_C";"Catuai IAC 144";"PRJNA609253";"C.arabica_PRJNA609253"
"4";9509111;249;6271040;65,95;248,95;4760843;4759965;4676670;67359;3456;13358;0,26;0,02;2,07;0,02;1,6;2434190;25,6;1896;0,02;0;0;799516;8,41;2469;0,03;"SRR11196523";"C.arabica";"23_19_C";"Catuai IAC 144";"PRJNA609253";"C.arabica_PRJNA609253"
"5";6447191;249;4291997;66,57;249,11;3346325;3345681;3287034;48293;2151;8847;0,25;0,02;1,81;0,02;1,65;1845668;28,63;871;0,01;0;0;307116;4,76;1539;0,02;"SRR11196524";"C.arabica";"23_19_C";"Catuai IAC 144";"PRJNA609253";"C.arabica_PRJNA609253"
"6";9160509;249;6322644;69,02;249,07;4707839;4706997;4621977;67489;3480;14893;0,27;0,02;1,89;0,02;1,66;2537206;27,7;1192;0,01;0;0;297264;3,25;2203;0,02;"SRR11196525";"C.arabica";"23_19_C";"Acaua";"PRJNA609253";"C.arabica_PRJNA609253"
"7";11870903;249;8100692;68,24;249,1;6337873;6336984;6223575;91450;4337;18511;0,26;0,02;2;0,02;1,66;3214843;27,08;1211;0,01;0;0;551220;4,64;2937;0,02;"SRR11196526";"C.arabica";"23_19_C";"Acaua";"PRJNA609253";"C.arabica_PRJNA609253"
"8";10249078;249;6583241;64,23;249,06;5175278;5174528;5084318;74448;3349;13163;0,25;0,02;1,91;0,02;1,68;2620721;25,57;1148;0,01;0;0;1041797;10,16;2171;0,02;"SRR11196527";"C.arabica";"30_26_C";"Catuai IAC 144";"PRJNA609253";"C.arabica_PRJNA609253"
"9";9150454;249;6303482;68,89;249,09;4834635;4833785;4750272;66623;3613;14127;0,26;0,02;1,98;0,02;1,63;2505177;27,38;1504;0,02;0;0;338018;3,69;2273;0,02;"SRR11196528";"C.arabica";"30_26_C";"Catuai IAC 144";"PRJNA609253";"C.arabica_PRJNA609253"
"10";13195209;249;7905216;59,91;249,03;6192146;6191274;6079695;90137;4171;18143;0,27;0,02;1,78;0,02;1,7;3149630;23,87;1334;0,01;0;0;2134734;16,18;4295;0,03;"SRR11196529";"C.arabica";"30_26_C";"Catuai IAC 144";"PRJNA609253";"C.arabica_PRJNA609253"
